english,synonyms
today,now
bug,insect
food,meal
down bad,downbad
demon,"daemon,evil spirit"
sus,"suspicious,suspect"
song,tune
video game,videogame
computer,laptop
schoolwork,school work
homework,home work
personal work,hobby work
internet,"web,world wide web,online,on the internet,on the web,digital"
home,at home
school,at school
emotion,feeling
grip,
wipe,
teacher,"godhead,god head"
student,"salthead,salt head,salted"
civilian,
mask,"face mask,facemask,covid mask,N95"
ennea,"void,evil"
death stare,"evil eye,eye of evil"
clown,"fool,joker,jester"
NSFW,"NSFS,inappropriate material"
cognitohazard,
lizard,reptile
meme,
groupchat,GC
paper,
pencil,
pen,
writing utensil,
airplane,plane
helicopter,
bird,birb
tv show,television show
web video,internet video
based,"awesome,cool,amazing"
repost,"repeat,redoing"
phone,"cellphone,cellular device"
shed,
class,"period,learning time,perversion,adulteration"
sport,"P.E.,personal entertainment,physical activity"
science,
write,
math,
history,distant past
draw,"paint,painting,drawing"
room,
door,"liminal,transition,doorway"
zoom,online class
vaccine,"protection,cure,remedy,medicine"
gay,homosexual
straight,heterosexual
fictional,"fake,not real,unreal"
surreal,
sincerity,sincere
ironic,
postironic,post-ironic
new sincerity,newly sincere
alive,"living,live"
dead,
old,"ancient,adult"
young,"new,child,intelligent"
sleep,"rest,still"
tomorrow,future
yesterday,past
dismissal,"kill,eliminate,destroy,end"
create,"birth,ressurect"
forever,"infinite,every day,everyday"
